,Age,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Win,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player
358,27.0,56.0,8.0,15.1,2.7,5.2,0.515,0.8,2.3,0.321,1.9,2.9,0.673,0.587,0.8,0.9,0.83,1.4,2.5,3.9,0.9,0.5,0.6,0.5,1.2,6.9,0.61,17.4,0.613,0.447,0.181,10.2,18.5,14.4,8.0,1.5,3.4,8.1,17.6,1.6,1.0,2.6,0.15,0.9,-0.2,0.7,0.6,Thomas Bryant
359,20.0,67.0,37.0,19.8,2.7,5.0,0.539,0.2,0.7,0.286,2.5,4.3,0.582,0.56,0.9,1.6,0.596,3.2,4.6,7.9,1.1,0.5,1.6,1.1,2.8,6.5,0.439,17.4,0.574,0.147,0.311,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2,1.8,2.2,4.0,0.144,-1.7,1.4,-0.3,0.6,Donovan Clingan
360,34.0,68.0,14.0,15.6,2.4,5.0,0.478,1.2,2.7,0.456,1.2,2.4,0.503,0.599,0.5,0.6,0.846,0.4,1.3,1.7,0.9,0.4,0.1,0.5,0.9,6.5,0.232,12.2,0.616,0.531,0.114,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7,1.3,0.5,1.8,0.08,-0.8,-0.9,-1.7,0.1,Seth Curry
361,28.0,74.0,42.0,24.6,2.4,5.3,0.458,1.2,3.1,0.382,1.2,2.1,0.57,0.572,0.4,0.6,0.721,1.0,2.4,3.4,1.5,0.9,0.5,0.7,2.2,6.5,0.451,9.9,0.583,0.596,0.11,4.4,10.8,7.7,8.4,1.9,2.0,11.6,11.3,1.3,2.1,3.3,0.088,-2.7,0.9,-1.9,0.1,Haywood Highsmith
362,24.0,58.0,0.0,12.5,2.3,5.0,0.457,0.7,2.1,0.336,1.6,2.9,0.544,0.527,1.2,1.7,0.735,0.3,1.4,1.7,1.4,0.4,0.2,0.7,1.0,6.5,0.476,13.8,0.567,0.419,0.337,2.8,11.5,7.2,16.1,1.4,1.3,10.7,21.6,0.6,0.5,1.1,0.075,-1.4,-1.1,-2.4,-0.1,Talen Horton-Tucker
363,29.0,69.0,5.0,19.6,2.3,5.4,0.42,1.2,3.4,0.34,1.1,2.0,0.559,0.528,0.8,1.2,0.7,1.2,3.4,4.6,1.2,0.6,0.3,0.6,1.2,6.5,0.488,12.3,0.551,0.636,0.214,6.6,19.6,13.1,7.9,1.5,1.7,8.7,14.3,1.3,1.2,2.6,0.091,-0.4,-0.3,-0.7,0.4,Trey Lyles
364,22.0,36.0,1.0,16.6,2.5,5.1,0.495,0.6,1.7,0.383,1.9,3.4,0.548,0.557,0.8,1.0,0.829,0.5,1.4,1.9,1.8,0.7,0.1,0.8,1.9,6.5,0.829,12.0,0.587,0.326,0.19,3.3,8.8,6.1,13.8,2.0,0.7,12.7,16.2,0.6,0.9,1.5,0.122,-2.5,0.9,-1.6,0.1,Ajay Mitchell
365,32.0,62.0,11.0,15.0,2.8,4.8,0.574,0.5,1.5,0.326,2.3,3.3,0.69,0.626,0.4,0.6,0.711,0.9,2.1,3.0,1.3,0.8,0.3,0.6,1.7,6.5,0.585,16.2,0.635,0.319,0.128,6.0,15.8,10.7,13.5,2.7,1.7,11.0,16.1,1.5,1.5,3.0,0.155,-0.5,2.0,1.4,0.8,Gary Payton II
366,27.0,36.0,4.0,11.8,1.7,3.7,0.462,0.4,1.3,0.304,1.3,2.4,0.547,0.515,0.9,1.0,0.886,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,4.6,0.415,14.4,0.566,0.348,0.265,9.6,15.9,12.7,16.9,1.6,3.2,13.5,17.1,0.6,0.4,1.0,0.11,-1.6,1.5,-0.1,0.2,Zach Collins
367,27.0,28.0,8.0,19.7,3.3,6.1,0.541,0.6,2.1,0.3,2.6,3.9,0.673,0.594,1.4,1.5,0.884,2.3,4.4,6.7,2.1,0.5,0.5,1.3,2.2,8.6,0.476,17.2,0.635,0.353,0.253,12.4,23.0,17.8,14.6,1.3,2.2,16.4,17.1,1.1,0.6,1.7,0.149,-0.1,0.2,0.1,0.3,Zach Collins
